cgpa,branch,apps,backlogs,python,java,sql,comm_score,placed
6.872700594236813,1,2,0,0,0,1,2.41348579057117,0
9.75357153204958,4,1,0,1,0,0,1.8595788935458444,0
8.659969709057025,2,3,0,1,0,0,2.2414527959443955,1
7.993292420985183,4,1,0,1,0,1,5.261404567239015,1
5.780093202212183,2,1,0,1,0,0,8.96080620249348,1
5.779972601681013,2,1,0,1,0,1,3.7829867023275296,1
5.290418060840997,1,0,0,1,0,0,4.976191964820771,0
9.330880728874675,3,2,0,1,1,1,1.3002126692572267,1
8.005575058716044,1,1,0,1,0,0,6.400673297937651,1
8.540362888980226,4,1,0,1,0,0,4.0557969649447205,1
5.102922471479012,1,1,0,1,0,0,7.020147500054287,1
9.849549260809972,2,2,1,0,0,0,6.143686156900194,0
9.162213204002109,2,3,0,1,0,1,7.5257870132588724,1
6.061695553391381,1,0,0,0,0,1,7.9719241708358854,0
5.909124836035503,4,0,0,1,0,0,3.158821268687741,0
5.917022549267169,3,1,0,0,0,1,5.564678126748445,0
6.521211214797688,3,3,0,1,1,0,6.023001437205317,1
7.623782158161189,2,3,0,0,1,0,4.930519008962916,1
7.159725093210579,3,3,0,1,0,0,4.466583082390176,1
6.456145700990209,3,3,0,0,0,0,9.517633019162526,1
8.059264473611897,4,1,0,0,1,0,1.9967837639181276,1
5.697469303260209,3,0,0,1,0,1,2.118505708671445,0
6.4607232426760905,1,2,0,1,1,0,6.546598260653161,1
6.831809216468459,4,1,1,0,0,0,3.1907152465630384,0
7.28034992108518,1,2,0,1,0,0,9.989948570501332,1
8.925879806965067,2,0,0,0,0,0,1.752460862193511,0
5.998368910791799,4,1,0,0,1,1,7.6755660668576065,1
7.571172192068058,3,1,1,1,0,1,7.47550397014938,0
7.962072844310212,4,3,0,1,0,0,7.5866672212677235,1
5.232252063599988,2,2,0,1,0,1,7.036525550305512,1
8.037724259507192,1,2,0,1,0,1,1.7124113331333857,1
5.8526206184364575,2,2,0,1,0,1,3.9323074638726525,1
5.325257964926397,4,3,0,0,1,0,1.9484876563825047,1
9.744427686266667,1,3,0,0,0,1,6.918589578665381,1
9.828160165372797,1,3,1,0,0,1,3.0227114512579707,1
9.041986740582306,4,3,0,1,1,0,5.949805048689409,1
6.523068845866853,2,1,0,1,0,1,9.905916857677742,1
5.48836057003192,3,0,1,1,0,1,1.783564986201724,0
8.421165132560784,2,0,1,0,1,1,9.339150622596245,0
7.200762468698007,3,0,0,0,0,0,5.112458011810183,0
5.610191174223894,2,2,0,0,1,0,6.030822248245992,1
7.475884550556351,4,2,0,0,0,0,8.227136894955121,1
5.171942605576092,2,0,0,1,1,1,7.928129862000158,0
9.546602010393912,2,1,0,0,0,1,1.2841256514333101,1
6.293899908000085,4,3,0,1,1,1,6.005264122205695,1
8.31261142176991,4,0,0,0,1,0,9.656349738062392,1
6.558555380447055,1,2,0,1,1,1,5.344705590717009,1
7.600340105889054,2,2,0,0,0,1,9.23739156637862,1
7.733551396716399,4,3,0,1,0,0,2.9189960171752727,1
5.924272277627635,4,2,0,0,1,1,7.3149853607540285,1
9.847923138822793,1,2,0,1,1,1,6.279542838346885,1
8.875664116805574,4,3,0,1,1,1,2.1827912789292445,1
9.697494707820946,1,3,0,1,1,1,2.3544804747922683,1
9.474136752138243,4,0,0,1,0,0,7.301906392454241,0
7.989499894055426,1,0,0,0,1,1,2.061977812869576,1
9.609371175115584,2,3,0,1,1,1,6.745789449994185,1
5.442462510259597,4,1,0,1,1,1,8.991987890401099,1
5.979914312095726,4,2,0,0,0,0,3.793352996958056,0
5.22613644455269,2,0,0,1,0,1,3.1444428136841975,1
6.626651653816322,2,2,0,1,1,0,5.850833622359029,1
6.94338644844741,2,2,1,0,0,1,9.349978101273976,0
6.356745158869479,1,2,0,0,0,0,1.666063826774834,1
9.143687545759647,4,1,0,0,0,1,8.892358375787495,1
6.7837666334679465,4,2,0,0,0,0,2.373513715856036,1
6.404672548436904,3,2,1,0,1,0,4.775008210938576,0
7.713480415791242,3,0,0,1,0,1,8.399410667104311,1
5.704621124873813,4,2,0,1,0,1,6.07943123957175,1
9.010984903770199,1,1,0,0,0,0,3.469986112110334,1
5.372753218398854,1,1,1,1,1,0,2.106327519581553,0
9.934434683002586,3,2,0,0,0,0,6.685665326293618,1
8.861223846483288,3,1,0,1,0,1,8.34937615830334,1
5.993578407670862,3,3,1,1,1,1,5.318278753140404,0
5.027610585618012,3,1,0,1,1,0,7.228215369828412,0
9.07730714227417,3,3,0,1,1,1,6.057085530443321,1
8.534286719238086,2,1,0,1,1,0,7.46076285196622,1
8.645035840204937,4,1,0,1,1,1,9.275857049679404,1
8.85635173342973,4,0,0,1,1,0,4.381064248214161,1
5.3702232586704515,3,2,0,1,0,1,7.581007201050226,0
6.792328642721364,4,0,0,1,0,1,9.604892410005116,1
5.579345297625649,4,3,0,1,0,0,3.019863349335707,1
9.315517129377968,2,0,0,1,1,1,9.280003652611892,1
8.11649063413779,2,0,1,1,1,1,4.74848870565658,0
6.654490124263246,1,1,0,0,1,0,1.4850794661463302,1
5.317791751430118,1,3,0,1,1,0,2.983582993768837,1
6.554911608578311,3,1,0,1,1,1,8.993083753248921,1
6.625916610133736,1,3,0,1,1,0,5.993417188972916,1
8.64803089169032,3,3,0,0,1,0,9.265850233511522,1
8.187787356776067,1,1,0,1,0,1,5.825227619771849,1
9.436063712881634,4,2,1,1,0,0,1.032818341648524,0
7.361074625809747,4,2,0,1,1,1,7.2572215497226,1
5.597971229691509,1,3,0,0,0,0,5.0345792948548125,0
8.566223936114975,4,2,1,1,1,1,1.702186306833724,0
8.803925243084487,4,1,0,1,0,0,3.3863426185987398,1
7.806385987847481,3,1,0,1,0,1,2.3391334044894654,0
8.854835899772805,4,1,0,0,1,1,5.052594527735355,1
7.468977981821954,1,0,0,0,1,0,3.717068222921556,0
7.61366414690997,4,0,0,1,1,0,2.8837124466594926,1
7.137705091792748,3,1,1,0,1,0,6.829139413098703,0
5.127095633720476,1,3,0,0,1,1,9.510226737524064,1
5.539457134966522,3,0,0,0,1,1,9.647946281494882,1
5.157145928433671,4,3,1,1,1,1,4.350881311489628,0
8.182052056318902,4,1,0,1,0,1,3.377883624287443,1
6.571779905381634,4,3,0,1,1,0,6.630657078866413,1
7.542853455823514,2,1,0,0,0,0,4.275263522848318,0
9.537832369630465,3,3,0,0,1,1,8.257089954911532,1
6.246461145744375,1,0,1,0,0,0,4.524265894608564,0
